amount,log_amount,hour_of_day,day_of_week,is_fraud
1852.0,7.524561,6,4,0
4804.9,8.4776,17,6,0
4923.49,8.501976,19,6,0
981.34,6.889937,23,3,0
3510.46,8.163787,3,4,0
4088.18,8.3161,7,4,1
3492.79,8.158742,10,1,0
208.74,5.345869,7,1,0
2954.72,7.991498,7,4,0
4439.6,8.398545,3,1,0
1956.89,7.579623,4,5,0
246.68,5.512138,15,1,0
1142.31,7.041683,12,0,0
4008.42,8.296402,1,6,0
1728.36,7.455507,0,4,0
1171.92,7.067252,7,3,0
4844.58,8.485822,19,1,0
1966.8,7.584671,15,5,0
1621.26,7.391576,4,1,0
218.64,5.39199,19,0,0
227.38,5.431011,22,1,0
4348.71,8.377864,19,0,0
3413.05,8.135655,15,5,0
4440.5,8.398747,2,0,0
1722.89,7.452339,22,3,0
4900.95,8.497388,0,3,0
1620.84,7.391317,21,1,0
2676.11,7.892493,22,3,0
4607.05,8.43556,22,3,0
2072.48,7.636984,5,0,0
1894.05,7.547001,10,2,0
2174.17,7.684862,5,5,0
1742.04,7.463386,6,3,0
3950.08,8.281744,13,3,0
1245.04,7.127726,15,6,0
2011.01,7.60689,19,4,0
3888.88,8.266134,5,3,0
4477.47,8.407037,11,5,0
2028.8,7.615693,16,4,0
2908.26,7.975654,23,1,0
3749.66,8.229687,22,5,0
1485.39,7.304106,15,5,0
4580.74,8.429834,22,3,0
3965.23,8.285571,1,1,0
2728.71,7.911951,13,2,0
1842.34,7.519334,20,3,0
1160.92,7.057829,1,3,0
3460.66,8.149504,16,6,0
1783.36,7.486815,7,6,0
1148.55,7.047126,9,3,0
1848.32,7.522573,5,1,0
567.42,6.342861,1,1,0
2822.42,7.945704,20,3,0
2580.48,7.856118,23,2,0
2532.04,7.837175,4,4,0
3468.15,8.151665,21,1,0
61.73,4.13884,22,4,0
1904.63,7.552568,14,3,0
2470.49,7.812576,19,1,0
326.33,5.790969,17,0,0
1203.26,7.093621,19,3,0
1550.3,7.346849,19,2,0
1211.97,7.100827,9,3,0
296.56,5.695616,12,2,0
1889.43,7.54456,14,6,0
4418.4,8.393759,10,3,0
2801.7,7.938339,10,4,0
3170.82,8.062061,11,0,0
2378.21,7.774524,9,2,0
1582.19,7.367197,1,4,0
3905.97,8.270517,17,4,0
1617.42,7.389206,14,2,0
3074.65,8.031272,19,0,0
1988.01,7.595392,3,1,0
1302.71,7.172969,4,1,0
3804.25,8.244137,22,0,0
3704.01,8.217441,8,2,0
3017.36,8.012469,6,0,0
4124.35,8.324906,22,4,0
1974.72,7.588688,5,5,0
2533.95,7.837929,15,5,0
2620.54,7.871517,12,6,0
4886.79,8.494496,2,4,0
4406.54,8.391072,13,2,0
1723.47,7.452675,8,2,0
1310.01,7.178553,10,3,0
346.97,5.852116,0,6,0
4794.9,8.475517,9,4,0
2886.78,7.968243,19,4,0
1097.29,7.00151,17,0,0
3737.93,8.226555,21,0,0
43.19,3.788499,3,0,0
2194.39,7.694115,13,6,0
3061.69,8.027049,6,2,0
1899.35,7.549793,8,4,0
1952.94,7.577603,14,2,0
1083.45,6.988828,13,3,0
279.18,5.635432,12,4,0
607.16,6.410438,17,0,0
1059.9,6.966873,15,3,0
4178.23,8.337882,9,5,0
2447.86,7.803378,15,1,0
4008.74,8.296482,17,1,0
4470.73,8.405531,8,0,0
3207.24,8.073478,16,0,0
3092.33,8.037003,5,6,0
3374.23,8.124219,18,4,0
1114.12,7.016717,18,2,0
4854.15,8.487795,22,0,0
3268.29,8.092328,3,3,0
1887.06,7.543305,12,6,0
4956.94,8.508746,12,3,0
4878.08,8.492712,23,6,0
2217.11,7.704411,11,4,0
3692.84,8.214422,20,6,0
1702.34,7.440346,12,5,0
654.02,6.484666,4,1,0
789.76,6.672995,2,2,0
2637.46,7.877951,6,1,0
990.91,6.899632,10,5,0
268.35,5.596012,12,2,0
2523.12,7.833648,12,3,0
893.66,6.796444,16,4,0
3289.47,8.098786,15,3,0
4176.39,8.337442,21,6,0
1294.02,7.166281,1,0,0
2924.47,7.98121,10,1,0
1368.12,7.221923,10,0,0
4398.12,8.38916,1,3,0
4725.01,8.460837,17,4,0
3852.79,8.256812,5,0,0
1840.73,7.518461,3,1,0
262.44,5.573826,14,6,0
433.31,6.073759,5,6,0
2283.33,7.733828,1,1,0
2723.02,7.909864,21,4,0
2367.8,7.770139,19,6,0
3276.89,8.094955,22,5,0
1119.43,7.021468,14,2,0
866.91,6.766088,14,1,0
3582.04,8.183967,17,4,0
392.33,5.974649,20,2,0
3338.85,8.113681,11,1,0
1532.56,7.335347,19,3,0
960.55,6.868547,21,2,0
2280.46,7.732571,16,6,0
2093.27,7.64696,21,6,0
99.57,4.610854,12,2,0
2178.08,7.686658,13,5,0
1659.2,7.414693,3,2,0
1854.69,7.526012,14,0,0
96.14,4.576153,20,6,0
2624.24,7.872928,0,4,0
2165.41,7.680827,2,0,0
4360.51,8.380574,14,0,0
3596.26,8.187928,20,5,0
649.44,6.477649,10,4,0
221.45,5.404702,1,3,0
4596.94,8.433364,10,4,0
4547.63,8.422581,6,3,0
2773.74,7.928312,16,3,0
2748.22,7.919073,5,3,0
2797.86,7.936967,19,3,0
454.67,6.121769,9,5,0
2160.1,7.678373,7,6,0
4116.4,8.322977,11,5,0
1086.52,6.991655,15,5,0
4601.41,8.434335,7,2,0
2520.8,7.832728,21,4,0
724.8,6.587274,5,1,0
476.15,6.167831,7,6,0
3201.12,8.071568,13,0,0
800.22,6.686136,18,2,0
3172.88,8.06271,3,2,0
55.86,4.040592,5,4,0
3220.6,8.077633,3,1,0
291.08,5.677028,8,1,0
4401.71,8.389976,0,3,0
2679.0,7.893572,2,3,0
3971.19,8.287073,1,6,0
30.18,3.439777,19,6,0
4163.63,8.334383,20,1,0
2695.84,7.899836,18,3,0
4987.3,8.51485,11,6,0
4014.76,8.297982,21,4,0
2024.46,7.613552,6,3,0
2565.64,7.850353,2,1,0
78.16,4.371471,9,3,0
4231.86,8.350633,21,1,0
2470.74,7.812678,4,1,0
3709.91,8.219032,0,0,0
3086.75,8.035198,5,4,0
654.14,6.484849,11,3,0
481.38,6.178732,6,2,0
1488.52,7.306209,20,1,0
1752.97,7.469637,9,2,0
369.32,5.914367,20,2,0
3184.18,8.066264,13,1,0
402.13,5.999259,12,2,0
3114.2,8.044049,14,6,0
617.54,6.427362,6,3,0
1437.6,7.271426,23,4,0
2029.44,7.616008,15,4,0
3853.57,8.257015,19,1,0
616.95,6.426408,8,1,0
4937.59,8.504835,10,2,0
685.27,6.531271,0,3,0
1555.14,7.349964,10,3,0
4978.16,8.513016,9,2,0
4765.16,8.469296,3,4,0
3953.53,8.282617,21,4,0
3059.26,8.026255,17,6,0
1591.27,7.372916,8,5,0
3960.86,8.284469,14,3,0
1796.42,7.494108,22,0,0
2075.29,7.638338,11,1,0
4261.05,8.357506,17,3,0
2305.88,7.743651,22,4,0
2162.88,7.679658,13,6,0
1354.43,7.211874,0,5,0
65.06,4.190563,7,2,0
3481.03,8.155371,5,4,0
1238.56,7.122512,7,6,0
1206.53,7.096332,0,0,0
3530.63,8.169515,15,3,0
1777.53,7.483542,5,2,0
1125.23,7.026631,15,0,0
23.25,3.188417,21,4,0
2475.63,7.814654,15,2,0
2171.11,7.683454,13,2,0
1761.98,7.474761,10,2,0
1953.11,7.57769,15,3,0
720.17,6.580875,14,2,0
738.06,6.605379,8,3,0
4562.82,8.425915,13,1,0
2904.69,7.974426,11,5,0
4247.44,8.354307,17,1,0
3510.61,8.16383,21,0,0
4756.31,8.467438,10,4,0
1635.65,7.400407,11,4,0
2735.99,7.914614,16,5,0
796.55,6.681545,15,5,0
3652.92,8.203556,16,4,0
3095.52,8.038034,6,2,0
1062.97,6.969762,13,4,0
2858.04,7.958241,5,6,0
1222.05,7.109103,4,5,0
3350.11,8.117047,9,0,0
4414.3,8.392831,21,6,0
3108.38,8.042179,19,0,0
4223.89,8.348749,21,1,0
766.16,6.642695,6,6,0
1453.41,7.282356,6,0,0
1946.41,7.574256,5,0,0
1165.83,7.062046,9,1,0
1853.69,7.525473,18,4,0
1138.37,7.038231,22,0,0
471.07,6.157127,4,4,0
690.77,6.539254,14,6,0
3377.49,8.125184,15,2,0
509.89,6.236154,8,3,0
4862.06,8.489423,11,4,0
3525.87,8.168166,20,1,0
2327.87,7.753138,8,2,0
4282.25,8.362467,14,5,0
2395.32,7.78169,17,6,0
3573.77,8.181656,8,4,0
4790.73,8.474647,18,0,0
4869.76,8.491005,15,0,0
3190.29,8.068181,9,6,0
2278.85,7.731865,1,5,0
256.98,5.552882,11,3,0
2179.09,7.687121,4,1,0
968.6,6.876884,23,0,0
2923.59,7.98091,15,0,0
1880.57,7.539862,0,2,0
2588.99,7.859409,9,6,0
2547.67,7.843327,22,5,0
2322.73,7.750929,16,2,0
4778.95,8.472185,4,4,0
464.32,6.142725,20,5,0
2718.64,7.908255,23,1,0
1925.25,7.56333,13,4,0
4409.83,8.391818,20,4,0
3507.35,8.162901,14,5,0
2238.44,7.713981,5,3,0
2582.93,7.857067,13,4,0
548.53,6.309063,3,3,0
2103.82,7.651985,8,6,0
2863.26,7.960065,17,4,0
3562.52,8.178504,13,3,0
1800.01,7.496103,22,1,0
4213.81,8.34636,12,1,0
3319.59,8.107898,22,4,0
4213.19,8.346213,21,3,0
2707.75,7.904243,10,5,0
1259.3,7.139105,20,3,0
4770.26,8.470366,8,6,0
4578.47,8.429339,13,5,0
1669.27,7.420741,17,2,0
1176.63,7.071259,20,0,0
325.95,5.789807,23,5,0
1925.73,7.56358,1,5,0
88.46,4.493792,18,2,0
1743.07,7.463977,4,0,0
4977.52,8.512888,20,1,0
3773.46,8.236013,13,1,0
42.64,3.775974,0,2,0
4679.75,8.451214,14,5,0
1589.47,7.371785,11,0,0
4055.37,8.308044,11,0,1
904.12,6.808068,23,1,0
4364.31,8.381444,16,6,0
2400.64,7.783907,13,1,0
144.7,4.98155,23,5,0
602.24,6.402315,1,4,0
980.61,6.889194,12,6,0
3975.94,8.288268,18,5,0
3128.99,8.048785,7,1,0
548.88,6.3097,6,1,0
2385.16,7.777441,18,2,0
2085.38,7.643186,13,5,0
698.46,6.550309,4,2,0
3678.5,8.210532,1,0,0
1115.53,7.017981,13,4,0
2624.59,7.873061,12,3,0
2741.4,7.916589,16,0,0
4868.91,8.490831,1,4,0
359.21,5.886687,22,1,0
3684.57,8.21218,0,0,0
3746.96,8.228967,10,1,0
164.19,5.107096,15,2,0
686.18,6.532596,22,1,0
3474.62,8.153528,1,5,0
2896.5,7.971604,0,2,0
1878.56,7.538793,20,4,0
530.35,6.275421,16,0,0
767.37,6.644271,18,0,0
889.97,6.792311,5,0,0
2034.69,7.61859,9,2,0
4044.51,8.305363,21,5,0
333.67,5.813145,17,4,0
575.04,6.356177,9,6,0
3919.14,8.273883,9,5,0
897.23,6.800426,4,2,0
2130.8,7.664722,6,0,0
2029.49,7.616032,20,6,0
2627.59,7.874203,5,4,0
3715.69,8.220589,2,0,0
204.75,5.326662,0,3,0
523.38,6.262217,14,3,0
444.53,6.099265,10,0,0
2339.69,7.758201,17,5,0
2846.23,7.954102,9,3,0
3459.7,8.149226,6,5,0
3241.56,8.084118,23,4,0
27.4,3.346389,14,0,0
46.74,3.86577,9,4,0
1811.16,7.502275,21,6,0
2819.53,7.94468,11,4,0
3394.82,8.130301,12,5,0
4839.2,8.484711,3,3,0
2107.02,7.653504,21,5,0
474.09,6.163504,12,5,0
534.29,6.282809,8,5,0
3420.61,8.137866,14,0,0
752.67,6.624955,10,3,0
2481.19,7.816897,21,0,0
1518.41,7.326077,17,4,0
3370.3,8.123054,22,4,0
639.19,6.461765,1,3,0
1116.8,7.019118,0,4,0
702.57,6.556167,16,1,0
4471.63,8.405732,22,3,0
4561.37,8.425598,1,5,0
1176.75,7.071361,6,0,0
3821.71,8.248715,20,3,0
2422.26,7.792869,5,6,0
923.35,6.829091,21,0,0
3949.68,8.281643,17,3,0
98.55,4.60066,12,5,0
1064.02,6.970749,1,1,0
1653.68,7.411363,23,4,0
4697.67,8.455035,4,1,0
159.05,5.075486,8,2,0
4101.64,8.319386,7,1,0
4893.54,8.495876,0,3,0
4920.55,8.501379,1,2,0
3667.64,8.207576,3,4,0
4652.09,8.445287,11,5,0
1601.21,7.379139,10,3,0
4744.72,8.464998,8,4,0
1216.07,7.104202,11,2,0
3308.71,8.104616,3,3,0
4564.67,8.426321,3,1,0
4097.7,8.318425,23,3,0
3806.89,8.244831,15,2,0
3144.13,8.053611,4,3,0
4738.74,8.463738,7,3,0
4378.03,8.384583,15,1,0
469.09,6.152924,13,1,0
1990.76,7.596774,17,0,0
3268.85,8.092499,23,6,0
178.93,5.192568,3,3,0
4602.26,8.43452,18,2,0
1377.66,7.228867,16,0,0
380.13,5.943141,19,2,0
416.96,6.035386,15,2,0
1378.7,7.229621,7,5,0
2737.67,7.915228,12,5,0
100.91,4.62409,7,2,0
210.61,5.354745,0,5,0
3761.17,8.232751,6,4,0
514.6,6.245331,16,6,0
3847.1,8.255335,0,0,0
1062.43,6.969255,19,4,0
3759.32,8.232259,8,5,0
362.29,5.895201,22,0,0
692.23,6.541362,6,5,0
346.32,5.850247,6,6,0
4911.24,8.499485,15,4,0
2870.22,7.962492,0,2,0
720.5,6.581332,5,3,0
3394.68,8.130259,13,5,0
4954.36,8.508225,15,3,0
2387.23,7.778308,5,5,0
4939.61,8.505244,14,2,0
2362.57,7.767928,5,4,0
4748.17,8.465725,23,1,0
1435.16,7.269728,11,2,0
4434.3,8.397351,12,5,0
2648.91,7.882281,21,1,0
20.16,3.052113,5,3,0
2905.99,7.974873,17,4,0
1450.97,7.280677,9,1,0
3689.0,8.213382,1,2,0
1520.83,7.327669,4,4,0
1939.32,7.570608,16,2,0
1758.29,7.472666,12,5,0
1960.81,7.581623,15,4,0
2818.84,7.944435,15,3,0
4530.18,8.418738,7,1,0
2543.77,7.841796,13,1,0
1500.04,7.313913,6,1,0
4672.78,8.449723,21,2,0
3203.61,8.072346,20,6,0
300.79,5.709731,13,6,0
2039.8,7.621097,17,5,0
4434.74,8.39745,5,6,0
2221.6,7.706433,12,5,0
1170.88,7.066365,23,5,0
4304.21,8.367581,5,2,0
2071.87,7.636689,18,0,0
3570.74,8.180808,11,6,0
2976.87,7.998964,0,3,0
3646.5,8.201797,11,0,0
3807.67,8.245035,13,4,0
1420.76,7.259651,10,2,0
4765.0,8.469263,21,2,0
632.0,6.45047,4,1,0
3438.05,8.142951,9,5,0
387.73,5.962885,19,6,0
740.25,6.608338,9,0,0
3699.65,8.216264,5,0,0
3773.94,8.23614,5,1,0
1823.39,7.509001,14,1,0
1033.04,6.941229,22,0,0
4363.77,8.381321,8,3,0
3184.14,8.066252,15,0,0
1702.73,7.440575,10,3,0
2432.21,7.796967,18,2,0
59.72,4.106273,3,6,0
419.81,6.042181,16,1,0
1626.63,7.39488,2,2,0
577.95,6.361216,20,2,0
347.77,5.854413,8,4,0
310.05,5.739954,22,2,0
3903.43,8.269867,10,0,0
4196.65,8.34228,13,2,0
3899.22,8.268788,15,5,0
4280.33,8.362019,4,4,0
564.46,6.33764,2,6,0
1880.83,7.54,21,3,0
4825.46,8.481869,4,4,0
1039.42,6.94738,13,1,0
2833.62,7.949663,12,5,0
4993.52,8.516097,12,1,0
962.31,6.870375,15,1,0
2737.87,7.915301,3,0,0
4778.72,8.472137,10,0,0
2921.95,7.980349,1,5,0
1053.64,6.960955,13,0,0
4033.87,8.302729,9,3,0
1464.29,7.289808,7,4,0
2513.09,7.829666,7,1,0
4130.4,8.326372,13,2,0
1446.12,7.277331,1,0,0
1849.88,7.523416,19,3,0
2204.22,7.698583,23,1,0
4262.4,8.357822,2,2,0
4481.99,8.408046,12,4,0
4508.68,8.413981,0,2,0
3733.3,8.225316,9,6,0
1915.77,7.558397,9,5,0
2982.02,8.000691,7,2,0
662.92,6.498162,8,4,0
889.08,6.791311,7,3,0
1789.14,7.490049,20,3,0
4633.23,8.441225,2,1,0
1498.81,7.313094,0,6,0
3570.09,8.180626,23,2,0
68.95,4.247781,23,3,0
3300.45,8.102117,5,5,0
1324.58,7.189605,11,2,0
1731.8,7.457494,12,3,0
3446.09,8.145286,23,4,0
894.95,6.797885,0,5,0
1558.92,7.35239,18,1,0
172.15,5.154158,19,4,0
2986.59,8.002222,5,4,0
2457.56,7.807331,19,0,0
4222.3,8.348372,0,5,0
429.79,6.065621,3,2,0
3763.44,8.233354,20,0,0
368.45,5.912015,18,5,0
4236.07,8.351627,10,0,0
2326.99,7.752761,3,3,0
1862.71,7.530324,7,1,0
1747.98,7.466788,2,5,0
733.38,6.599027,17,4,0
615.32,6.423766,7,4,0
2712.46,7.90598,2,1,0
2348.84,7.762103,19,0,0
3963.43,8.285117,21,4,0
479.38,6.174577,23,6,0
4341.49,8.376203,6,1,0
4041.58,8.304638,11,1,0
1065.3,6.97195,19,6,0
927.51,6.833581,1,4,0
4118.94,8.323594,23,2,0
2404.87,7.785667,2,5,0
2903.36,7.973968,1,2,0
2158.12,7.677456,14,3,0
2635.96,7.877382,19,5,0
245.06,5.505575,5,4,0
1654.73,7.411997,6,1,0
1749.9,7.467885,7,6,0
4914.81,8.500212,9,3,0
2858.85,7.958524,4,1,0
293.34,5.684736,5,4,0
2112.1,7.655911,7,0,0
2561.06,7.848567,19,0,0
4919.24,8.501113,8,6,0
3110.61,8.042896,4,3,0
3588.55,8.185782,10,2,0
825.11,6.716728,11,4,0
1764.58,7.476235,5,0,0
3498.57,8.160395,5,1,0
3807.07,8.244878,1,4,0
1159.58,7.056675,16,2,0
3172.92,8.062723,8,6,0
2478.45,7.815792,9,3,0
2696.09,7.899929,19,0,0
745.25,6.615061,17,0,0
3297.75,8.101299,20,0,0
2695.98,7.899888,20,0,0
4313.11,8.369646,10,4,0
1995.16,7.598981,17,4,0
4776.89,8.471754,10,3,0
4126.45,8.325415,16,0,0
1712.78,7.446457,22,4,0
839.21,6.733652,14,2,0
4924.56,8.502193,4,2,0
3241.09,8.083973,10,5,0
3064.29,8.027897,6,0,0
3291.9,8.099524,19,3,0
4134.08,8.327262,4,4,0
935.17,6.841797,11,0,0
173.58,5.162383,7,5,0
2489.88,7.820391,15,2,0
1412.74,7.253994,2,4,0
417.29,6.036175,22,5,0
2603.42,7.864965,19,2,0
1278.4,7.154146,7,2,0
1889.44,7.544565,5,1,0
1860.03,7.528885,6,2,1
4453.34,8.401634,17,0,0
4574.69,8.428513,11,1,0
4601.04,8.434255,15,4,0
1206.02,7.09591,11,3,0
41.74,3.755135,5,0,0
2401.81,7.784394,16,6,0
3107.19,8.041796,4,0,0
910.64,6.815245,16,6,0
268.72,5.597384,16,6,0
1245.0,7.127694,18,6,0
3072.23,8.030484,6,0,0
3400.89,8.132086,18,1,0
1337.33,7.199178,5,2,0
1210.65,7.099738,18,6,0
4208.09,8.345002,11,5,0
480.82,6.177571,11,4,0
1188.77,7.081515,21,0,0
3015.9,8.011985,11,3,0
3441.45,8.143939,0,1,0
524.82,6.264959,13,1,0
817.8,6.70784,22,2,0
1557.68,7.351595,4,3,0
3259.76,8.089716,14,4,0
1587.26,7.370394,0,2,0
1411.7,7.253258,17,1,0
3402.81,8.132651,22,1,0
3521.03,8.166793,7,5,0
1336.48,7.198543,21,3,0
519.77,6.255308,21,0,0
2252.83,7.720386,6,1,0
3835.77,8.252386,15,2,0
1088.79,6.99374,3,2,0
3017.79,8.012611,2,6,0
548.0,6.308098,15,1,0
1184.17,7.077642,12,0,0
630.86,6.448668,14,6,0
3615.37,8.193226,20,5,0
150.81,5.02263,18,4,0
350.56,5.86238,2,1,0
4992.36,8.515864,1,4,0
15.18,2.783776,0,0,0
4555.36,8.424279,6,1,0
1312.89,7.180747,12,1,0
845.53,6.741146,13,3,0
321.34,5.775607,23,1,0
4125.65,8.325221,13,6,0
1710.75,7.445272,17,3,0
159.92,5.080907,16,5,0
3560.0,8.177797,2,1,0
1720.3,7.450835,3,4,0
2176.68,7.686015,16,5,0
4770.46,8.470408,7,6,0
2898.18,7.972183,4,1,0
2047.36,7.624795,5,2,0
3046.3,8.022011,1,4,0
4005.09,8.295571,13,3,0
4956.43,8.508643,10,1,0
3235.21,8.082158,12,2,0
3678.7,8.210587,19,2,0
3726.81,8.223576,17,6,0
1809.72,7.50148,18,3,0
1464.83,7.290177,23,1,0
3906.61,8.270681,15,1,0
2002.01,7.602406,0,3,0
296.88,5.696691,14,4,0
4116.53,8.323009,9,1,0
4206.3,8.344576,17,3,1
847.87,6.743906,19,3,0
1693.29,7.435019,5,0,0
2154.5,7.675778,14,2,0
2051.37,7.626751,23,1,0
2904.82,7.974471,9,4,0
4197.49,8.34248,18,3,0
4329.64,8.373471,12,4,0
4453.18,8.401598,3,2,0
1033.92,6.942079,10,6,0
2623.46,7.87263,15,3,0
1340.51,7.201551,16,2,0
1831.58,7.51348,14,0,0
597.36,6.394193,5,2,0
2755.07,7.921561,11,5,0
239.73,5.483676,11,6,0
144.12,4.977561,21,3,0
447.81,6.1066,2,1,0
1440.69,7.273571,0,5,0
1845.56,7.52108,14,4,0
1970.41,7.586504,5,4,0
2739.35,7.915841,13,1,0
634.66,6.454664,12,3,0
370.44,5.917387,7,4,0
3127.08,8.048175,11,6,0
2139.74,7.668907,23,0,0
3093.83,8.037488,15,4,0
3416.95,8.136796,15,3,0
3828.13,8.250393,4,2,0
3681.31,8.211296,14,5,0
2922.41,7.980506,8,2,0
2258.89,7.723071,11,4,0
2727.4,7.911471,18,4,0
3480.15,8.155118,20,0,0
1366.71,7.220893,13,0,0
3448.94,8.146112,20,5,0
156.87,5.061772,6,2,0
1449.25,7.279491,20,3,0
4979.83,8.513352,8,0,0
2611.43,7.868036,10,2,0
3477.75,8.154428,21,4,0
1829.74,7.512476,20,6,0
257.79,5.556017,1,1,0
2201.38,7.697294,22,1,0
1399.26,7.244413,8,3,0
3134.99,8.0507,7,1,0
4933.41,8.503988,4,4,0
2407.06,7.786577,3,3,0
1248.34,7.130371,23,0,0
2648.22,7.882021,12,1,0
1352.35,7.210338,21,6,0
1690.76,7.433525,6,2,0
1301.85,7.172309,22,0,0
780.43,6.661126,15,0,0
4074.54,8.312759,0,3,0
410.41,6.01959,4,5,0
1326.78,7.191264,14,6,0
3041.56,8.020455,18,5,0
3914.08,8.272591,13,3,0
36.39,3.621403,20,1,0
1684.97,7.430096,19,4,0
2556.68,7.846856,7,4,0
1569.52,7.359162,9,3,0
3592.45,8.186868,13,6,0
481.51,6.179002,18,3,0
2965.43,7.995114,3,6,0
1696.85,7.437118,22,2,0
1292.53,7.16513,12,6,0
1339.94,7.201126,1,4,0
4145.9,8.330116,4,5,0
857.61,6.755315,10,5,0
4253.46,8.355723,17,2,0
1191.08,7.083455,15,5,0
4548.97,8.422876,18,2,1
1720.39,7.450887,22,4,0
2871.87,7.963067,17,6,0
1584.93,7.368926,10,0,0
2581.51,7.856517,17,4,0
4396.39,8.388766,1,1,0
4434.22,8.397332,4,6,0
911.83,6.81655,17,6,0
3382.63,8.126704,19,3,0
673.83,6.514461,20,3,0
1692.27,7.434417,22,5,0
1746.33,7.465844,1,0,0
4270.46,8.359711,15,5,0
1165.53,7.061789,21,3,0
4920.44,8.501356,9,4,0
1876.86,7.537888,2,5,0
2948.78,7.989486,8,3,1
784.81,6.666715,13,0,0
53.65,4.000949,15,0,0
4216.05,8.346891,23,0,0
4994.68,8.516329,20,0,0
1511.79,7.321711,13,0,0
16.98,2.88926,19,6,0
2987.27,8.00245,5,1,0
3179.02,8.064643,11,6,0
220.31,5.399564,1,4,0
3140.87,8.052573,10,4,0
1148.04,7.046682,22,0,0
3508.34,8.163183,15,0,0
2409.79,7.78771,22,5,0
2564.66,7.849971,22,6,0
3243.06,8.084581,13,3,0
1246.67,7.129033,22,0,0
1580.68,7.366243,6,6,0
664.39,6.500373,3,6,0
3782.31,8.238355,23,2,0
4273.66,8.36046,22,5,0
687.32,6.534254,9,6,0
4107.82,8.320891,22,0,0
3935.29,8.277994,9,1,0
322.59,5.779477,3,5,0
4286.53,8.363466,17,3,0
4191.88,8.341143,3,4,0
3580.99,8.183674,5,3,0
1645.83,7.406608,18,2,0
1089.97,6.994822,3,5,0
3748.03,8.229252,8,3,0
4319.85,8.371207,0,6,0
3485.79,8.156737,6,2,0
4508.49,8.413939,7,3,0
1880.38,7.539761,6,5,0
1107.61,7.010862,5,2,0
3879.84,8.263807,2,2,0
1419.12,7.258497,12,5,0
4735.18,8.462986,8,1,0
2498.05,7.823666,14,1,0
748.56,6.619486,9,2,0
1121.75,7.023536,16,5,0
2286.0,7.734996,11,0,0
2190.49,7.692337,16,5,0
290.58,5.675314,14,5,0
4542.75,8.421508,17,1,0
2417.69,7.790981,22,3,0
2845.25,7.953758,21,2,0
4323.41,8.372031,9,4,0
975.53,6.884005,22,1,0
2330.47,7.754254,22,1,0
643.54,6.468537,19,0,0
1056.29,6.963464,3,2,0
3034.84,8.018243,9,0,0
2768.46,7.926408,13,4,0
3854.3,8.257204,7,0,0
2892.01,7.970053,5,6,0
4512.3,8.414784,21,1,0
2474.5,7.814198,13,1,0
4226.26,8.349309,22,1,0
4226.03,8.349255,3,1,0
231.34,5.448202,19,0,0
143.35,4.972241,22,1,0
827.43,6.719532,20,4,0
1723.68,7.452797,20,5,0
3529.89,8.169305,4,0,0
2871.4,7.962903,2,6,0
336.52,5.821625,11,3,0
3442.72,8.144308,12,1,0
2404.1,7.785347,19,2,0
681.46,6.525704,12,5,0
1936.49,7.569149,11,1,0
1515.46,7.324134,15,5,0
166.59,5.121521,6,1,0
2968.73,7.996226,1,1,0
1853.48,7.52536,11,0,0
2422.8,7.793092,20,5,0
2977.96,7.99933,14,5,0
3879.77,8.263789,15,4,0
3747.96,8.229234,2,4,0
4820.25,8.480789,9,6,0
3969.29,8.286594,20,6,0
4674.0,8.449984,11,4,0
4143.36,8.329504,22,4,0
1823.03,7.508804,3,4,0
542.32,6.297698,20,4,0
1434.66,7.26938,9,2,0
1369.91,7.22323,20,1,0
1591.3,7.372935,1,0,0
2039.82,7.621107,11,3,0
1759.6,7.47341,6,4,0
2218.74,7.705145,10,1,0
4333.25,8.374304,22,6,0
917.75,6.823014,17,4,0
2583.76,7.857388,21,3,0
2679.62,7.893803,2,3,0
2138.45,7.668304,16,3,0
2548.32,7.843582,12,4,1
3053.53,8.024381,19,2,0
3093.98,8.037537,19,5,0
512.35,6.240958,18,3,0
4100.86,8.319196,9,3,0
2335.18,7.756272,20,6,0
2417.46,7.790886,6,1,0
3232.49,8.081317,5,5,0
2776.06,7.929148,7,5,0
2729.96,7.912408,23,5,0
4658.19,8.446597,11,3,0
3621.17,8.194829,12,0,0
246.58,5.511734,5,5,0
2367.02,7.769809,11,4,0
629.7,6.44683,23,3,0
4472.27,8.405875,19,5,0
3175.59,8.063564,11,0,0
669.22,6.507606,18,3,0
2782.0,7.931285,18,3,0
3431.18,8.140951,13,3,0
3588.06,8.185646,16,4,0
1605.3,7.381689,18,4,0
352.63,5.868251,5,2,0
4779.43,8.472286,16,1,0
4268.49,8.35925,21,3,0
1003.86,6.912604,10,1,0
4633.16,8.44121,5,5,0
2943.4,7.98766,7,3,0
639.65,6.462483,9,4,0
2430.47,7.796251,3,5,0
1340.74,7.201723,23,0,0
1039.59,6.947543,6,3,0
4264.13,8.358228,10,4,0
1522.74,7.328923,4,5,0
592.15,6.385447,12,2,0
4118.73,8.323543,21,6,0
3553.8,8.176054,23,0,0
911.97,6.816703,7,6,0
1519.06,7.326505,17,5,0
3789.45,8.24024,13,1,0
1247.72,7.129874,4,5,0
3053.94,8.024515,0,5,0
3636.97,8.199181,21,0,0
1175.72,7.070486,21,0,0
1159.57,7.056667,4,6,0
2700.6,7.901599,1,5,0
544.59,6.301868,18,4,0
